feature,importance
severe_consequence_count,0.5213836
is_frameshift,0.07045304
gene_SCN1A,0.042483985
is_nonsense,0.024305934
gene_PLCB1,0.015007829
gene_KCNQ3,0.014223113
gene_KCNQ2,0.0137148015
is_benign_familial,0.012808592
is_indel,0.011759841
chr_8,0.010703274
gene_SCN3A,0.010037002
chr_2,0.009185326
type_single nucleotide variant,0.008988167
has_developmental_delay,0.00870641
is_deletion,0.007290598
chr_1,0.006980968
chr_14,0.006878513
gene_SCN2A,0.0067216014
gene_CDKL5,0.0060556503
has_multiple_submitters,0.0058694393
chr_20,0.005817237
gene_STXBP1,0.005199655
gene_MECP2,0.0051035504
gene_SLC2A1,0.005101051
type_Indel,0.0050118263
has_autism,0.004923833
gene_TBC1D24,0.0048899935
gene_SCN9A,0.004809507
chr_5,0.0047237757
gene_CHD2,0.004599951
type_Deletion,0.004506416
chr_X,0.0043220213
review_score,0.004248859
is_febrile_seizure,0.004168474
is_infantile_encephalopathy,0.004130684
gene_SCN8A,0.0041240077
is_single_nucleotide,0.004024581
num_phenotypes,0.0040139914
has_seizures,0.0040108603
gene_PRRT2,0.0039565633
gene_TSC1,0.0038730602
chr_12,0.0038300382
gene_ARX,0.0037614382
gene_frequency,0.0037528013
gene_FOXG1,0.0037495357
gene_DEPDC5,0.0035764487
position,0.0035473546
num_submitters,0.0035004925
gene_ALDH7A1,0.0033666182
chr_15,0.003169792
type_Microsatellite,0.003069692
is_early_in_gene,0.0030687419
type_Insertion,0.002930006
gene_GABRG2,0.002886004
chr_22,0.0028232206
is_ion_channel,0.0028110172
gene_TSC2,0.0027168232
gene_NPRL3,0.002702687
chr_16,0.0026531909
is_sodium_channel,0.0026368068
log_num_submitters,0.0026346033
is_duplication,0.0025360025
position_in_gene,0.0024425585
gene_PCDH19,0.0023943484
chr_9,0.0023149145
gene_GABRA1,0.0022012987
is_gaba_receptor,0.0020369133
is_grch38,0.0019774835
gene_SLC6A1,0.0019089596
is_insertion,0.0018661948
type_Duplication,0.0017925513
is_late_in_gene,0.0016446393
is_grch37,0.0013742382
has_expert_review,0.0011007024
chr_3,0.001097794
has_criteria,0.0010065665
chr_4,0.0
type_Translocation,0.0
type_Inversion,0.0
is_de_novo,0.0
is_germline,0.0
is_transversion,0.0
is_transition,0.0
is_snp,0.0
allele_length_diff,0.0
alt_length,0.0
ref_length,0.0
type_copy number gain,0.0
type_Variation,0.0
chr_na,0.0
type_copy number loss,0.0
type_protein only,0.0
is_splice,0.0
is_synonymous,0.0
is_dravet,0.0
is_inframe,0.0
is_start_loss,0.0
is_stop_loss,0.0
is_missense,0.0
